"mobile","browser","trial_type","trial_index","time_elapsed","internal_node_id","success","rt","width","height","stimulus","response","box_width","box_height","timeout","failed_images","failed_audio","failed_video","trial_name","button_order","categories","mouse_tracking_data","mouse_tracking_targets","too_fast","too_slow","fullscreen"
"","","html-button-response","10","9988","0.0-5.0-0.2","","493","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","11","11292","0.0-5.0-1.2","","1303","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/black/b2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":622,""y"":551,""t"":705,""event"":""mousemove""},{""x"":626,""y"":544,""t"":711,""event"":""mousemove""},{""x"":633,""y"":529,""t"":726,""event"":""mousemove""},{""x"":642,""y"":512,""t"":743,""event"":""mousemove""},{""x"":652,""y"":492,""t"":759,""event"":""mousemove""},{""x"":677,""y"":450,""t"":776,""event"":""mousemove""},{""x"":696,""y"":423,""t"":793,""event"":""mousemove""},{""x"":724,""y"":382,""t"":809,""event"":""mousemove""},{""x"":738,""y"":362,""t"":826,""event"":""mousemove""},{""x"":754,""y"":338,""t"":843,""event"":""mousemove""},{""x"":775,""y"":308,""t"":859,""event"":""mousemove""},{""x"":787,""y"":289,""t"":876,""event"":""mousemove""},{""x"":798,""y"":274,""t"":893,""event"":""mousemove""},{""x"":812,""y"":251,""t"":909,""event"":""mousemove""},{""x"":820,""y"":239,""t"":926,""event"":""mousemove""},{""x"":827,""y"":229,""t"":943,""event"":""mousemove""},{""x"":829,""y"":226,""t"":960,""event"":""mousemove""},{""x"":832,""y"":224,""t"":976,""event"":""mousemove""},{""x"":833,""y"":222,""t"":993,""event"":""mousemove""},{""x"":836,""y"":218,""t"":1009,""event"":""mousemove""},{""x"":838,""y"":216,""t"":1026,""event"":""mousemove""},{""x"":841,""y"":214,""t"":1043,""event"":""mousemove""},{""x"":846,""y"":207,""t"":1059,""event"":""mousemove""},{""x"":850,""y"":202,""t"":1076,""event"":""mousemove""},{""x"":855,""y"":194,""t"":1093,""event"":""mousemove""},{""x"":860,""y"":188,""t"":1109,""event"":""mousemove""},{""x"":862,""y"":185,""t"":1126,""event"":""mousemove""},{""x"":863,""y"":184,""t"":1143,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","12","12987","0.0-5.0-0.3","","1694","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","13","14709","0.0-5.0-1.3","","1721","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w1.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","0","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":627,""y"":554,""t"":610,""event"":""mousemove""},{""x"":621,""y"":552,""t"":616,""event"":""mousemove""},{""x"":614,""y"":548,""t"":628,""event"":""mousemove""},{""x"":592,""y"":540,""t"":645,""event"":""mousemove""},{""x"":573,""y"":533,""t"":661,""event"":""mousemove""},{""x"":558,""y"":526,""t"":678,""event"":""mousemove""},{""x"":536,""y"":517,""t"":695,""event"":""mousemove""},{""x"":518,""y"":511,""t"":712,""event"":""mousemove""},{""x"":484,""y"":501,""t"":728,""event"":""mousemove""},{""x"":450,""y"":492,""t"":745,""event"":""mousemove""},{""x"":403,""y"":482,""t"":761,""event"":""mousemove""},{""x"":365,""y"":472,""t"":778,""event"":""mousemove""},{""x"":330,""y"":464,""t"":795,""event"":""mousemove""},{""x"":290,""y"":453,""t"":811,""event"":""mousemove""},{""x"":263,""y"":447,""t"":828,""event"":""mousemove""},{""x"":238,""y"":442,""t"":845,""event"":""mousemove""},{""x"":204,""y"":436,""t"":862,""event"":""mousemove""},{""x"":182,""y"":430,""t"":878,""event"":""mousemove""},{""x"":157,""y"":424,""t"":895,""event"":""mousemove""},{""x"":143,""y"":420,""t"":912,""event"":""mousemove""},{""x"":132,""y"":416,""t"":928,""event"":""mousemove""},{""x"":124,""y"":415,""t"":945,""event"":""mousemove""},{""x"":121,""y"":414,""t"":962,""event"":""mousemove""},{""x"":115,""y"":412,""t"":978,""event"":""mousemove""},{""x"":112,""y"":411,""t"":995,""event"":""mousemove""},{""x"":110,""y"":410,""t"":1011,""event"":""mousemove""},{""x"":107,""y"":408,""t"":1028,""event"":""mousemove""},{""x"":107,""y"":407,""t"":1053,""event"":""mousemove""},{""x"":108,""y"":407,""t"":1124,""event"":""mousemove""},{""x"":109,""y"":407,""t"":1194,""event"":""mousemove""},{""x"":110,""y"":407,""t"":1228,""event"":""mousemove""},{""x"":112,""y"":406,""t"":1245,""event"":""mousemove""},{""x"":116,""y"":402,""t"":1261,""event"":""mousemove""},{""x"":130,""y"":388,""t"":1278,""event"":""mousemove""},{""x"":146,""y"":371,""t"":1295,""event"":""mousemove""},{""x"":188,""y"":330,""t"":1311,""event"":""mousemove""},{""x"":219,""y"":300,""t"":1328,""event"":""mousemove""},{""x"":246,""y"":276,""t"":1345,""event"":""mousemove""},{""x"":276,""y"":248,""t"":1362,""event"":""mousemove""},{""x"":290,""y"":234,""t"":1378,""event"":""mousemove""},{""x"":313,""y"":214,""t"":1395,""event"":""mousemove""},{""x"":325,""y"":202,""t"":1412,""event"":""mousemove""},{""x"":338,""y"":191,""t"":1428,""event"":""mousemove""},{""x"":351,""y"":180,""t"":1445,""event"":""mousemove""},{""x"":360,""y"":172,""t"":1462,""event"":""mousemove""},{""x"":371,""y"":161,""t"":1478,""event"":""mousemove""},{""x"":377,""y"":155,""t"":1495,""event"":""mousemove""},{""x"":382,""y"":151,""t"":1511,""event"":""mousemove""},{""x"":389,""y"":144,""t"":1528,""event"":""mousemove""},{""x"":391,""y"":142,""t"":1545,""event"":""mousemove""},{""x"":394,""y"":141,""t"":1561,""event"":""mousemove""},{""x"":395,""y"":141,""t"":1581,""event"":""mousemove""},{""x"":396,""y"":141,""t"":1610,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","14","16091","0.0-5.0-0.4","","1380","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","15","17415","0.0-5.0-1.4","","1323","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w2.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":635,""y"":552,""t"":327,""event"":""mousemove""},{""x"":681,""y"":539,""t"":341,""event"":""mousemove""},{""x"":724,""y"":528,""t"":357,""event"":""mousemove""},{""x"":808,""y"":505,""t"":374,""event"":""mousemove""},{""x"":851,""y"":495,""t"":391,""event"":""mousemove""},{""x"":894,""y"":485,""t"":407,""event"":""mousemove""},{""x"":954,""y"":470,""t"":424,""event"":""mousemove""},{""x"":986,""y"":461,""t"":441,""event"":""mousemove""},{""x"":1030,""y"":446,""t"":457,""event"":""mousemove""},{""x"":1056,""y"":437,""t"":474,""event"":""mousemove""},{""x"":1090,""y"":426,""t"":491,""event"":""mousemove""},{""x"":1114,""y"":418,""t"":507,""event"":""mousemove""},{""x"":1120,""y"":416,""t"":524,""event"":""mousemove""},{""x"":1122,""y"":416,""t"":541,""event"":""mousemove""},{""x"":1124,""y"":415,""t"":557,""event"":""mousemove""},{""x"":1123,""y"":414,""t"":576,""event"":""mousemove""},{""x"":1117,""y"":407,""t"":836,""event"":""mousemove""},{""x"":1112,""y"":398,""t"":842,""event"":""mousemove""},{""x"":1097,""y"":376,""t"":857,""event"":""mousemove""},{""x"":1082,""y"":356,""t"":874,""event"":""mousemove""},{""x"":1061,""y"":330,""t"":891,""event"":""mousemove""},{""x"":1047,""y"":316,""t"":907,""event"":""mousemove""},{""x"":1034,""y"":302,""t"":924,""event"":""mousemove""},{""x"":1015,""y"":278,""t"":941,""event"":""mousemove""},{""x"":1002,""y"":264,""t"":958,""event"":""mousemove""},{""x"":985,""y"":249,""t"":974,""event"":""mousemove""},{""x"":977,""y"":241,""t"":991,""event"":""mousemove""},{""x"":967,""y"":232,""t"":1008,""event"":""mousemove""},{""x"":956,""y"":220,""t"":1024,""event"":""mousemove""},{""x"":948,""y"":212,""t"":1041,""event"":""mousemove""},{""x"":942,""y"":206,""t"":1057,""event"":""mousemove""},{""x"":933,""y"":196,""t"":1074,""event"":""mousemove""},{""x"":926,""y"":190,""t"":1091,""event"":""mousemove""},{""x"":916,""y"":182,""t"":1108,""event"":""mousemove""},{""x"":912,""y"":177,""t"":1124,""event"":""mousemove""},{""x"":907,""y"":173,""t"":1141,""event"":""mousemove""},{""x"":905,""y"":170,""t"":1158,""event"":""mousemove""},{""x"":903,""y"":168,""t"":1174,""event"":""mousemove""},{""x"":901,""y"":166,""t"":1191,""event"":""mousemove""},{""x"":899,""y"":164,""t"":1207,""event"":""mousemove""},{""x"":898,""y"":160,""t"":1224,""event"":""mousemove""},{""x"":897,""y"":160,""t"":1238,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","16","19019","0.0-5.0-0.5","","1603","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","17","21014","0.0-5.0-1.5","","1994","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w4.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":638,""y"":555,""t"":924,""event"":""mousemove""},{""x"":638,""y"":554,""t"":937,""event"":""mousemove""},{""x"":638,""y"":552,""t"":981,""event"":""mousemove""},{""x"":638,""y"":551,""t"":997,""event"":""mousemove""},{""x"":638,""y"":548,""t"":1014,""event"":""mousemove""},{""x"":638,""y"":546,""t"":1031,""event"":""mousemove""},{""x"":638,""y"":545,""t"":1047,""event"":""mousemove""},{""x"":638,""y"":543,""t"":1064,""event"":""mousemove""},{""x"":638,""y"":541,""t"":1114,""event"":""mousemove""},{""x"":638,""y"":540,""t"":1131,""event"":""mousemove""},{""x"":638,""y"":535,""t"":1147,""event"":""mousemove""},{""x"":638,""y"":527,""t"":1164,""event"":""mousemove""},{""x"":640,""y"":516,""t"":1181,""event"":""mousemove""},{""x"":641,""y"":496,""t"":1198,""event"":""mousemove""},{""x"":644,""y"":484,""t"":1214,""event"":""mousemove""},{""x"":650,""y"":459,""t"":1231,""event"":""mousemove""},{""x"":656,""y"":445,""t"":1248,""event"":""mousemove""},{""x"":665,""y"":423,""t"":1264,""event"":""mousemove""},{""x"":670,""y"":413,""t"":1281,""event"":""mousemove""},{""x"":678,""y"":401,""t"":1297,""event"":""mousemove""},{""x"":688,""y"":391,""t"":1314,""event"":""mousemove""},{""x"":696,""y"":386,""t"":1331,""event"":""mousemove""},{""x"":708,""y"":381,""t"":1348,""event"":""mousemove""},{""x"":720,""y"":379,""t"":1364,""event"":""mousemove""},{""x"":730,""y"":378,""t"":1381,""event"":""mousemove""},{""x"":744,""y"":378,""t"":1397,""event"":""mousemove""},{""x"":756,""y"":378,""t"":1414,""event"":""mousemove""},{""x"":769,""y"":376,""t"":1431,""event"":""mousemove""},{""x"":784,""y"":376,""t"":1447,""event"":""mousemove""},{""x"":794,""y"":375,""t"":1464,""event"":""mousemove""},{""x"":806,""y"":373,""t"":1481,""event"":""mousemove""},{""x"":814,""y"":370,""t"":1498,""event"":""mousemove""},{""x"":830,""y"":361,""t"":1514,""event"":""mousemove""},{""x"":840,""y"":353,""t"":1531,""event"":""mousemove""},{""x"":852,""y"":341,""t"":1548,""event"":""mousemove""},{""x"":866,""y"":326,""t"":1564,""event"":""mousemove""},{""x"":876,""y"":312,""t"":1581,""event"":""mousemove""},{""x"":891,""y"":288,""t"":1598,""event"":""mousemove""},{""x"":897,""y"":272,""t"":1614,""event"":""mousemove""},{""x"":901,""y"":261,""t"":1631,""event"":""mousemove""},{""x"":903,""y"":248,""t"":1647,""event"":""mousemove""},{""x"":903,""y"":242,""t"":1664,""event"":""mousemove""},{""x"":898,""y"":231,""t"":1681,""event"":""mousemove""},{""x"":894,""y"":224,""t"":1698,""event"":""mousemove""},{""x"":888,""y"":215,""t"":1714,""event"":""mousemove""},{""x"":880,""y"":204,""t"":1731,""event"":""mousemove""},{""x"":876,""y"":198,""t"":1748,""event"":""mousemove""},{""x"":870,""y"":188,""t"":1765,""event"":""mousemove""},{""x"":868,""y"":184,""t"":1781,""event"":""mousemove""},{""x"":864,""y"":178,""t"":1798,""event"":""mousemove""},{""x"":860,""y"":170,""t"":1814,""event"":""mousemove""},{""x"":858,""y"":168,""t"":1831,""event"":""mousemove""},{""x"":854,""y"":165,""t"":1847,""event"":""mousemove""},{""x"":853,""y"":163,""t"":1864,""event"":""mousemove""},{""x"":852,""y"":161,""t"":1881,""event"":""mousemove""},{""x"":852,""y"":160,""t"":1897,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","18","22841","0.0-5.0-0.6","","1826","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
"","","html-button-response","19","24233","0.0-5.0-1.6","","1392","","","[""<div id=\""mousetracking-container\"" style=\""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;\""></div><img src='images/white/w5.png' style='position:absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-top: 200px; width: nullpx; height: nullpx'>""]","1","","","","","","","mouseTrackQuestion","[""BLACK"",""WHITE""]","[""black"",""white""]","[{""x"":636,""y"":553,""t"":337,""event"":""mousemove""},{""x"":633,""y"":541,""t"":343,""event"":""mousemove""},{""x"":627,""y"":506,""t"":359,""event"":""mousemove""},{""x"":621,""y"":460,""t"":376,""event"":""mousemove""},{""x"":616,""y"":392,""t"":392,""event"":""mousemove""},{""x"":611,""y"":346,""t"":409,""event"":""mousemove""},{""x"":606,""y"":300,""t"":426,""event"":""mousemove""},{""x"":599,""y"":221,""t"":443,""event"":""mousemove""},{""x"":596,""y"":170,""t"":459,""event"":""mousemove""},{""x"":595,""y"":131,""t"":477,""event"":""mousemove""},{""x"":595,""y"":103,""t"":493,""event"":""mousemove""},{""x"":596,""y"":72,""t"":509,""event"":""mousemove""},{""x"":602,""y"":27,""t"":526,""event"":""mousemove""},{""x"":604,""y"":14,""t"":543,""event"":""mousemove""},{""x"":830,""y"":7,""t"":988,""event"":""mousemove""},{""x"":841,""y"":12,""t"":995,""event"":""mousemove""},{""x"":860,""y"":22,""t"":1009,""event"":""mousemove""},{""x"":874,""y"":34,""t"":1026,""event"":""mousemove""},{""x"":883,""y"":46,""t"":1043,""event"":""mousemove""},{""x"":894,""y"":66,""t"":1059,""event"":""mousemove""},{""x"":900,""y"":81,""t"":1076,""event"":""mousemove""},{""x"":908,""y"":100,""t"":1093,""event"":""mousemove""},{""x"":910,""y"":113,""t"":1110,""event"":""mousemove""},{""x"":912,""y"":123,""t"":1126,""event"":""mousemove""},{""x"":913,""y"":137,""t"":1143,""event"":""mousemove""},{""x"":914,""y"":144,""t"":1160,""event"":""mousemove""},{""x"":916,""y"":151,""t"":1176,""event"":""mousemove""},{""x"":916,""y"":154,""t"":1194,""event"":""mousemove""},{""x"":916,""y"":158,""t"":1210,""event"":""mousemove""},{""x"":917,""y"":162,""t"":1227,""event"":""mousemove""},{""x"":917,""y"":165,""t"":1244,""event"":""mousemove""},{""x"":917,""y"":166,""t"":1259,""event"":""mousemove""},{""x"":917,""y"":168,""t"":1276,""event"":""mousemove""},{""x"":917,""y"":168,""t"":1343,""event"":""mousemove""},{""x"":917,""y"":168,""t"":1360,""event"":""mousemove""}]","{""#mousetracking-container"":{""x"":238,""y"":58,""width"":804,""height"":604,""top"":58,""right"":1042,""bottom"":662,""left"":238}}","false","false","true"
"","","html-button-response","20","25777","0.0-5.0-0.7","","1542","","","<div id=""mousetracking-container"" style=""border:2px solid transparent; border-color: #ccc; position: absolute; width: 800px; height: 600px; transform: translate(-50%, -50%); top: 50%; left: 50%;""></div><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: -250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>BLACK</button><button class=""jspsych-btn"" style=""position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); margin-left: 250px; margin-top: -200px; width: 120px; height: 60px; font-size: 20px;""'>WHITE</button>","0","","","","","","","","","","","","","",""
